,Participant id,Image order,Image name,HSP score,HSP class,Income,Valence,Arousal,Time,Selection,Selection interval,Selection hash,Focused on block,Selection count,Gender,Gender code,Age,Ideology,Ideology code,Race,Race code,Nationaly,Nationaly code,Education,Education code,Index
94,139,95,Flood 3,79,1,0,3,5,24.5,0;1;2;5;4;3;8;7;6,1;1.5;2;2.5;2.5;3;3.5;4;4.5,1.807915179579898,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,94
95,139,96,Car 2,79,1,0,5,4,23.0,0;3;6;4;1;2;5;7;8,1;1;1.5;2;2.5;3;3.5;4;4.5,1.9474042341982392,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,95
96,139,97,Flowers 1,79,1,0,7,7,35.0,4;7;1;0;3;5;8;6;2,2.5;2.5;3;3.5;4;4.5;4.5;5;5.5,2.0888530877361484,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,96
97,139,98,Car accident 2,79,1,0,2,5,27.0,2;1;5;4;8;7;3;6;0,1;1.5;2;2.5;3;3.5;4;4.5;5,1.8383844703291234,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,97
98,139,99,Food 1,79,1,0,4,3,17.5,2;5;8;1;4;7;0;3;6,1;1;1.5;1.5;2;2;2.5;3;3,2.1880454676706145,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,98
99,469,1,Acorns 2,81,1,0,4,4,32.512,8;4;3;1;7;6;0;2;5,6.869;6.058;12.591;0.704;0.78;1.614;0.381;0.526;2.989,2.298190646947956,5.0,9,Female,1,22,A bit liberal,5,White,1,Persian,1,Associate degree,2,99
100,469,2,Cold 2,81,1,0,2,5,9.467,5;3;4;1;0;8;2;6;7,3.405;1.35;0.723;0.436;0.862;0.759;0.964;0.516;0.452,2.1130203502148523,5.0,9,Female,1,22,A bit liberal,5,White,1,Persian,1,Associate degree,2,100
101,469,3,Hang gliding 2,81,1,0,2,3,11.152,7;4;8;6;5;3;1;0;2,6.273;0.528;0.75;0.358;1.399;0.325;0.706;0.367;0.446,2.3959383025108627,5.0,9,Female,1,22,A bit liberal,5,White,1,Persian,1,Associate degree,2,101
102,469,4,Alcohol 2,81,1,0,2,5,8.081,4;7;6;3;5;8;0;2;1,4.776;0.444;0.37;0.354;0.481;0.378;0.477;0.478;0.323,2.2964064908406354,5.0,9,Female,1,22,A bit liberal,5,White,1,Persian,1,Associate degree,2,102
103,469,5,Collaboration 1,81,1,0,1,1,9.246,4;1;3;8;0;2;7;6,2.149;1.073;1.322;1.265;1.504;0.536;1.052;0.345,1.523371946956583,5.0,8,Female,1,22,A bit liberal,5,White,1,Persian,1,Associate degree,2,103
